timestamp,open,high,low,close,volume
2025-12-26,486.7050,488.1200,485.9600,487.7100,8842175
2025-12-24,485.6800,489.1625,484.8300,488.0200,5855880
2025-12-23,484.9800,487.8300,484.7400,486.8500,14683582
2025-12-22,486.1200,488.7300,482.6900,484.9200,16963019
2025-12-19,487.3600,487.8500,482.4900,485.9200,70836105
2025-12-18,478.1900,489.6000,477.8900,483.9800,28573545
2025-12-17,476.9050,480.0000,475.0000,476.1200,24527176
2025-12-16,471.9050,477.8900,470.8800,476.3900,20705560
2025-12-15,480.1000,480.7205,472.5200,474.8200,23727694
2025-12-12,479.8200,482.4500,476.3400,478.5300,21248102
2025-12-11,476.6300,486.0300,475.8600,483.4700,24669180
2025-12-10,484.0300,484.2500,475.0800,478.5600,35756229
2025-12-09,489.1000,492.1200,488.5001,492.0200,14092776
2025-12-08,484.8850,492.3000,484.3800,491.0200,20668450
2025-12-05,482.5150,483.4000,478.8801,483.1600,22608710
2025-12-04,479.7600,481.3220,476.4900,480.8400,22318155
2025-12-03,476.3200,484.2400,475.2000,477.7300,34615102
2025-12-02,486.7150,493.4999,486.3200,490.0000,19562722
2025-12-01,488.4350,489.8599,484.6475,486.7400,23963993
2025-11-28,487.5950,492.6300,486.6500,492.0100,14386730
2025-11-26,486.3100,488.3100,481.2000,485.5000,25709079
2025-11-25,474.0700,479.1500,464.8900,476.9900,28019793
2025-11-24,475.0000,476.9000,468.0200,474.0000,34421046
2025-11-21,478.5000,478.9200,468.2700,472.1200,31769248
2025-11-20,492.7100,493.5700,475.5000,478.4300,26802542
2025-11-19,490.1000,495.1872,482.8300,487.1200,23245314
2025-11-18,495.3650,502.9800,486.7800,493.7900,33815114
2025-11-17,508.4500,512.1200,504.9100,507.4900,19092752
2025-11-14,498.2300,511.6000,497.4400,510.1800,28505746
2025-11-13,510.3100,513.5000,501.2900,503.2900,25273114
2025-11-12,509.3550,511.6700,499.1201,511.1400,26574851
2025-11-11,504.8000,509.6000,502.3488,508.6800,17980020
2025-11-10,500.0350,506.8500,498.8000,506.0000,26101480
2025-11-07,496.9450,499.3770,493.2500,496.8200,24019764
2025-11-06,505.6600,505.7000,495.8100,497.1000,27406496
2025-11-05,513.3000,514.8300,506.5750,507.1600,22883851
2025-11-04,511.7600,515.5500,507.8400,514.3300,20958663
2025-11-03,519.8050,524.9600,514.5900,517.0300,22374742
2025-10-31,528.8750,529.3200,515.1000,517.8100,34006424
2025-10-30,530.4800,534.9700,522.1200,525.7600,41023088
2025-10-29,544.9400,546.2700,536.7287,541.5500,36023004
2025-10-28,550.0000,553.7200,540.7700,542.0700,29986683
2025-10-27,531.7800,534.5800,529.0100,531.5200,18734716
2025-10-24,522.7900,525.3450,520.7100,523.6100,15532360
2025-10-23,522.4600,523.9500,518.6100,520.5600,14023532
2025-10-22,521.1500,525.2300,517.7100,520.5400,18962694
2025-10-21,517.5000,518.6900,513.0400,517.6600,15586204
2025-10-20,514.6100,518.7000,513.4300,516.7900,14665620
2025-10-17,509.0400,515.4800,507.3100,513.5800,19867765
2025-10-16,512.5800,516.8500,508.1300,511.6100,15559565
2025-10-15,514.9550,517.1900,510.0000,513.4300,14694654
2025-10-14,510.2250,515.2820,506.0000,513.5700,14684300
2025-10-13,516.4100,516.4100,511.6800,514.0500,14284238
2025-10-10,519.6400,523.5800,509.6300,510.9600,24133840
2025-10-09,522.3350,524.3250,517.4000,522.4000,18343602
2025-10-08,523.2800,526.9500,523.0900,524.8500,13363447
2025-10-07,528.2850,529.8000,521.4400,523.9800,14615208
2025-10-06,518.6100,531.0300,518.2000,528.5700,21388581
2025-10-03,517.1000,520.4900,515.0000,517.3500,15112321
2025-10-02,517.6400,521.6000,510.6791,515.7400,21222886
2025-10-01,514.8000,520.5050,511.6900,519.7100,22632336
2025-09-30,513.2400,518.1600,509.6600,517.9500,19728229
2025-09-29,511.5000,516.8450,508.8800,514.6000,17617775
2025-09-26,510.0600,513.9400,506.6200,511.4600,16213129
2025-09-25,508.3000,510.0100,505.0400,507.0300,15786468
2025-09-24,510.3800,512.4800,506.9200,510.1500,13533711
2025-09-23,513.8000,514.5899,507.3100,509.2300,19799580
2025-09-22,515.5900,517.7400,512.5450,514.4500,20009314
2025-09-19,510.5600,519.3000,510.3100,517.9300,52474093
2025-09-18,511.4900,513.0700,507.6600,508.4500,18913696
2025-09-17,510.6200,511.2900,505.9300,510.0200,15816585
2025-09-16,516.8800,517.2300,508.6000,509.0400,19711922
2025-09-15,508.7900,515.4700,507.0000,515.3600,17143786
2025-09-12,506.6500,512.5500,503.8500,509.9000,23624884
2025-09-11,502.2500,503.1700,497.8800,501.0100,18881608
2025-09-10,502.9800,503.2299,496.7200,500.3700,21611816
2025-09-09,501.4300,502.2500,497.7000,498.4100,14410542
2025-09-08,498.1050,501.1950,495.0300,498.2000,16771015
2025-09-05,509.0700,511.9700,492.3700,495.0000,31994846
2025-09-04,504.3000,508.1500,503.1500,507.9700,15509486
2025-09-03,503.7900,507.7900,502.3200,505.3500,15995154
2025-09-02,500.4650,506.0000,496.8100,505.1200,18127995
2025-08-29,508.6600,509.6000,504.4915,506.6900,20961569
2025-08-28,507.0900,511.0900,505.5000,509.6400,18015593
2025-08-27,502.0000,507.2900,499.9000,506.7400,17277893
2025-08-26,504.3550,504.9778,498.5100,502.0400,30835709
2025-08-25,506.6300,508.1900,504.1200,504.2600,21638579
2025-08-22,504.2500,510.7300,502.4100,507.2300,24324161
2025-08-21,503.6900,507.6300,502.7201,504.2400,18443254
2025-08-20,509.8650,511.0000,504.4400,505.7200,27723025
2025-08-19,515.0000,515.1641,508.5500,509.7700,21481016
2025-08-18,521.5850,522.8200,514.0200,517.1000,23760583
2025-08-15,522.7700,526.1000,519.0800,520.1700,25213272
2025-08-14,522.5600,525.9499,520.1400,522.4800,20269074
2025-08-13,532.1100,532.7000,519.3700,520.5800,19619160
2025-08-12,523.7500,530.9800,522.7000,529.2400,18688921
2025-08-11,522.3000,527.5900,519.7200,521.7700,20194372
2025-08-08,522.6000,524.6600,519.4100,522.0400,15531009
2025-08-07,526.8000,528.0900,517.5511,520.8400,16079144
2025-08-06,530.9000,531.7000,524.0300,524.9400,21355702
